date,vendorCode,title,category,sales,profit,ads,stock
2026-01-13,WB-4001,LED Desk Lamp Slim,Home,6472,4,879,1257
2026-01-13,WB-4002,Organizer Box Set,Home,4855,310,434,634
2026-01-14,WB-1001,Power Blender X,Kitchen,15984,522,1396,464
2026-01-14,WB-1002,Air Fryer Pro 5L,Kitchen,12978,-87,1698,1180
2026-01-14,WB-2001,Vitamin D3 2000IU,Health,12958,771,1306,1024
2026-01-14,WB-2002,Omega-3 Ultra,Health,10858,1722,1055,2019
2026-01-14,WB-3001,Yoga Mat Grip+,Sport,8785,-122,1297,369
2026-01-14,WB-3002,Resistance Bands Set,Sport,8008,1085,937,422
2026-01-14,WB-4001,LED Desk Lamp Slim,Home,4663,-39,993,613
2026-01-14,WB-4002,Organizer Box Set,Home,7211,870,604,1711
2026-01-15,WB-1001,Power Blender X,Kitchen,22577,-353,4006,678
2026-01-15,WB-1002,Air Fryer Pro 5L,Kitchen,13804,236,2596,1086
2026-01-15,WB-2001,Vitamin D3 2000IU,Health,10569,1465,1175,2006
2026-01-15,WB-2002,Omega-3 Ultra,Health,14962,869,2885,1629
2026-01-15,WB-3001,Yoga Mat Grip+,Sport,7278,178,1109,305
2026-01-15,WB-3002,Resistance Bands Set,Sport,6026,256,717,889
2026-01-15,WB-4001,LED Desk Lamp Slim,Home,9236,1176,1317,1724
2026-01-15,WB-4002,Organizer Box Set,Home,9229,224,1209,719
2026-01-16,WB-1001,Power Blender X,Kitchen,16305,1814,1770,1206
2026-01-16,WB-1002,Air Fryer Pro 5L,Kitchen,25632,1982,3771,1106
2026-01-16,WB-2001,Vitamin D3 2000IU,Health,9788,911,1688,1694
2026-01-16,WB-2002,Omega-3 Ultra,Health,16216,27,2382,1705
2026-01-16,WB-3001,Yoga Mat Grip+,Sport,9136,761,1755,628
2026-01-16,WB-3002,Resistance Bands Set,Sport,9635,226,2047,429
2026-01-16,WB-4001,LED Desk Lamp Slim,Home,5948,973,601,1484
2026-01-16,WB-4002,Organizer Box Set,Home,6056,491,1185,1287
2026-01-17,WB-1001,Power Blender X,Kitchen,18532,-293,2906,329
2026-01-17,WB-1002,Air Fryer Pro 5L,Kitchen,27523,916,4705,1239
2026-01-17,WB-2001,Vitamin D3 2000IU,Health,13160,660,2658,815
2026-01-17,WB-2002,Omega-3 Ultra,Health,11402,428,1379,1393
2026-01-17,WB-3001,Yoga Mat Grip+,Sport,8606,20,1193,1080
2026-01-17,WB-3002,Resistance Bands Set,Sport,9290,642,1339,1075
2026-01-17,WB-4001,LED Desk Lamp Slim,Home,7602,-61,1584,1122
2026-01-17,WB-4002,Organizer Box Set,Home,8182,883,675,661
2026-01-18,WB-1001,Power Blender X,Kitchen,11749,-520,2254,783
2026-01-18,WB-1002,Air Fryer Pro 5L,Kitchen,20837,297,3290,828
2026-01-18,WB-2001,Vitamin D3 2000IU,Health,12465,-657,2365,1352
2026-01-18,WB-2002,Omega-3 Ultra,Health,9887,1234,1174,1271
2026-01-18,WB-3001,Yoga Mat Grip+,Sport,9388,748,1749,670
2026-01-18,WB-3002,Resistance Bands Set,Sport,9708,497,1463,889
2026-01-18,WB-4001,LED Desk Lamp Slim,Home,6766,283,1046,1662
2026-01-18,WB-4002,Organizer Box Set,Home,7976,543,1616,762
2026-01-19,WB-1001,Power Blender X,Kitchen,18749,794,3975,450
2026-01-19,WB-1002,Air Fryer Pro 5L,Kitchen,13232,-135,1877,553
2026-01-19,WB-2001,Vitamin D3 2000IU,Health,8414,604,1461,1871
2026-01-19,WB-2002,Omega-3 Ultra,Health,9097,413,1639,710
2026-01-19,WB-3001,Yoga Mat Grip+,Sport,11411,-687,2458,1118
2026-01-19,WB-3002,Resistance Bands Set,Sport,8359,1088,1238,1012
2026-01-19,WB-4001,LED Desk Lamp Slim,Home,5341,332,749,867
2026-01-19,WB-4002,Organizer Box Set,Home,5509,611,686,445
2026-01-20,WB-1001,Power Blender X,Kitchen,18681,-350,2646,643
2026-01-20,WB-1002,Air Fryer Pro 5L,Kitchen,19561,-418,2967,1290
2026-01-20,WB-2001,Vitamin D3 2000IU,Health,14422,-1142,3115,898
2026-01-20,WB-2002,Omega-3 Ultra,Health,8132,-209,1537,689
2026-01-20,WB-3001,Yoga Mat Grip+,Sport,8510,370,1766,507
2026-01-20,WB-3002,Resistance Bands Set,Sport,6791,17,1417,896
2026-01-20,WB-4001,LED Desk Lamp Slim,Home,4988,708,439,981
2026-01-20,WB-4002,Organizer Box Set,Home,4904,50,1036,1478
2026-01-21,WB-1001,Power Blender X,Kitchen,12755,-882,2549,1169
2026-01-21,WB-1002,Air Fryer Pro 5L,Kitchen,17417,1411,2220,1232
2026-01-21,WB-2001,Vitamin D3 2000IU,Health,10050,1068,985,857
2026-01-21,WB-2002,Omega-3 Ultra,Health,8719,222,894,800
2026-01-21,WB-3001,Yoga Mat Grip+,Sport,7815,929,958,535
2026-01-21,WB-3002,Resistance Bands Set,Sport,9000,635,944,295
2026-01-21,WB-4001,LED Desk Lamp Slim,Home,5777,896,474,1147
2026-01-21,WB-4002,Organizer Box Set,Home,5478,674,802,560
2026-01-22,WB-1001,Power Blender X,Kitchen,22018,1292,3093,1141
2026-01-22,WB-1002,Air Fryer Pro 5L,Kitchen,16652,1317,2513,1287
2026-01-22,WB-2001,Vitamin D3 2000IU,Health,10678,390,2098,1469
2026-01-22,WB-2002,Omega-3 Ultra,Health,11199,1,1440,689
2026-01-22,WB-3001,Yoga Mat Grip+,Sport,6295,-143,1156,423
2026-01-22,WB-3002,Resistance Bands Set,Sport,6382,392,1262,870
2026-01-22,WB-4001,LED Desk Lamp Slim,Home,5931,314,675,1026
2026-01-22,WB-4002,Organizer Box Set,Home,5321,105,757,1689
2026-01-23,WB-1001,Power Blender X,Kitchen,27548,70,4313,1271
2026-01-23,WB-1002,Air Fryer Pro 5L,Kitchen,17940,-174,2330,692
2026-01-23,WB-2001,Vitamin D3 2000IU,Health,13555,24,2038,1267
2026-01-23,WB-2002,Omega-3 Ultra,Health,9017,157,1054,1105
2026-01-23,WB-3001,Yoga Mat Grip+,Sport,7029,601,584,484
2026-01-23,WB-3002,Resistance Bands Set,Sport,10970,943,1690,858
2026-01-23,WB-4001,LED Desk Lamp Slim,Home,9267,-191,1881,850
2026-01-23,WB-4002,Organizer Box Set,Home,10781,1454,1088,1269
2026-01-24,WB-1001,Power Blender X,Kitchen,14089,927,2774,936
2026-01-24,WB-1002,Air Fryer Pro 5L,Kitchen,24088,-1238,4666,833
2026-01-24,WB-2001,Vitamin D3 2000IU,Health,13842,718,2725,1762
2026-01-24,WB-2002,Omega-3 Ultra,Health,14612,354,2995,1557
2026-01-24,WB-3001,Yoga Mat Grip+,Sport,8393,477,708,597
2026-01-24,WB-3002,Resistance Bands Set,Sport,7487,92,1475,832
2026-01-24,WB-4001,LED Desk Lamp Slim,Home,8761,202,1535,424
2026-01-24,WB-4002,Organizer Box Set,Home,9727,153,1797,1126
2026-01-25,WB-1001,Power Blender X,Kitchen,20007,2974,1785,564
2026-01-25,WB-1002,Air Fryer Pro 5L,Kitchen,12638,1511,1480,518
2026-01-25,WB-2001,Vitamin D3 2000IU,Health,14014,-245,3035,1079
2026-01-25,WB-2002,Omega-3 Ultra,Health,11823,792,2077,1440
2026-01-25,WB-3001,Yoga Mat Grip+,Sport,9899,522,899,503
2026-01-25,WB-3002,Resistance Bands Set,Sport,10532,929,1291,290
2026-01-25,WB-4001,LED Desk Lamp Slim,Home,4847,532,570,1333
2026-01-25,WB-4002,Organizer Box Set,Home,7860,644,948,1033
2026-01-26,WB-1001,Power Blender X,Kitchen,17575,2924,1697,512
2026-01-26,WB-1002,Air Fryer Pro 5L,Kitchen,24024,-2119,5070,769
2026-01-26,WB-2001,Vitamin D3 2000IU,Health,14687,-346,3165,903
2026-01-26,WB-2002,Omega-3 Ultra,Health,9562,-560,2030,1385
2026-01-26,WB-3001,Yoga Mat Grip+,Sport,6742,802,1034,396
2026-01-26,WB-3002,Resistance Bands Set,Sport,11017,1219,1666,898
2026-01-26,WB-4001,LED Desk Lamp Slim,Home,5683,-44,1168,452
2026-01-26,WB-4002,Organizer Box Set,Home,4567,198,679,818
2026-01-27,WB-1001,Power Blender X,Kitchen,13472,571,1726,1146
2026-01-27,WB-1002,Air Fryer Pro 5L,Kitchen,11721,811,2169,433
2026-01-27,WB-2001,Vitamin D3 2000IU,Health,15581,1316,2801,936
2026-01-27,WB-2002,Omega-3 Ultra,Health,10926,1582,1475,1397
2026-01-27,WB-3001,Yoga Mat Grip+,Sport,8122,196,1136,322
2026-01-27,WB-3002,Resistance Bands Set,Sport,6490,-201,1277,1103
2026-01-27,WB-4001,LED Desk Lamp Slim,Home,5771,488,676,670
2026-01-27,WB-4002,Organizer Box Set,Home,6379,303,1364,1491
2026-01-28,WB-1001,Power Blender X,Kitchen,19649,1231,4084,858
2026-01-28,WB-1002,Air Fryer Pro 5L,Kitchen,20766,3120,1805,761
2026-01-28,WB-2001,Vitamin D3 2000IU,Health,14122,-61,2403,565
2026-01-28,WB-2002,Omega-3 Ultra,Health,15584,1523,1524,1019
2026-01-28,WB-3001,Yoga Mat Grip+,Sport,7725,716,1417,508
2026-01-28,WB-3002,Resistance Bands Set,Sport,9982,869,1218,627
2026-01-28,WB-4001,LED Desk Lamp Slim,Home,5369,271,551,1615
2026-01-28,WB-4002,Organizer Box Set,Home,6985,1078,773,1735
2026-01-29,WB-1001,Power Blender X,Kitchen,17369,890,1728,404
2026-01-29,WB-1002,Air Fryer Pro 5L,Kitchen,16008,1049,1484,570
2026-01-29,WB-2001,Vitamin D3 2000IU,Health,12584,450,2569,1125
2026-01-29,WB-2002,Omega-3 Ultra,Health,11276,304,1729,1010
2026-01-29,WB-3001,Yoga Mat Grip+,Sport,6240,973,741,390
2026-01-29,WB-3002,Resistance Bands Set,Sport,9021,811,1516,470
2026-01-29,WB-4001,LED Desk Lamp Slim,Home,5878,407,674,1008
2026-01-29,WB-4002,Organizer Box Set,Home,9224,562,1833,448
2026-01-30,WB-1001,Power Blender X,Kitchen,13922,1169,2496,783
2026-01-30,WB-1002,Air Fryer Pro 5L,Kitchen,21963,2254,1757,1232
2026-01-30,WB-2001,Vitamin D3 2000IU,Health,16945,1284,3385,872
2026-01-30,WB-2002,Omega-3 Ultra,Health,10023,1022,1018,1540
2026-01-30,WB-3001,Yoga Mat Grip+,Sport,13548,577,2452,953
2026-01-30,WB-3002,Resistance Bands Set,Sport,10040,-309,1578,968
2026-01-30,WB-4001,LED Desk Lamp Slim,Home,6543,94,1366,820
2026-01-30,WB-4002,Organizer Box Set,Home,5953,634,686,1342
2026-01-31,WB-1001,Power Blender X,Kitchen,15079,1720,1354,892
2026-01-31,WB-1002,Air Fryer Pro 5L,Kitchen,19078,2001,2123,325
2026-01-31,WB-2001,Vitamin D3 2000IU,Health,11882,1532,1716,1482
2026-01-31,WB-2002,Omega-3 Ultra,Health,17507,193,2565,870
2026-01-31,WB-3001,Yoga Mat Grip+,Sport,13687,-129,2445,299
2026-01-31,WB-3002,Resistance Bands Set,Sport,10337,132,1803,506
2026-01-31,WB-4001,LED Desk Lamp Slim,Home,8993,-478,1884,465
2026-01-31,WB-4002,Organizer Box Set,Home,7137,644,991,681
2026-02-01,WB-1001,Power Blender X,Kitchen,21743,376,3989,518
2026-02-01,WB-1002,Air Fryer Pro 5L,Kitchen,23920,3051,2957,543
2026-02-01,WB-2001,Vitamin D3 2000IU,Health,9660,-185,1801,1955
2026-02-01,WB-2002,Omega-3 Ultra,Health,11964,593,1270,1132
2026-02-01,WB-3001,Yoga Mat Grip+,Sport,10041,-695,2136,626
2026-02-01,WB-3002,Resistance Bands Set,Sport,7191,-528,1555,325
2026-02-01,WB-4001,LED Desk Lamp Slim,Home,4844,623,654,1586
2026-02-01,WB-4002,Organizer Box Set,Home,8140,403,1787,854
2026-02-02,WB-1001,Power Blender X,Kitchen,14037,398,2962,346
2026-02-02,WB-1002,Air Fryer Pro 5L,Kitchen,20071,940,2669,643
2026-02-02,WB-2001,Vitamin D3 2000IU,Health,9221,778,741,1031
2026-02-02,WB-2002,Omega-3 Ultra,Health,15826,2800,1540,809
2026-02-02,WB-3001,Yoga Mat Grip+,Sport,8096,458,1578,660
2026-02-02,WB-3002,Resistance Bands Set,Sport,6160,205,901,1089
2026-02-02,WB-4001,LED Desk Lamp Slim,Home,5495,729,719,459
2026-02-02,WB-4002,Organizer Box Set,Home,6562,322,1270,473
2026-02-03,WB-1001,Power Blender X,Kitchen,12139,2166,1077,569
2026-02-03,WB-1002,Air Fryer Pro 5L,Kitchen,21115,-665,4345,584
2026-02-03,WB-2001,Vitamin D3 2000IU,Health,15844,-70,2636,1593
2026-02-03,WB-2002,Omega-3 Ultra,Health,10458,21,1240,1653
2026-02-03,WB-3001,Yoga Mat Grip+,Sport,11623,1187,1961,301
2026-02-03,WB-3002,Resistance Bands Set,Sport,7323,926,1073,1119
2026-02-03,WB-4001,LED Desk Lamp Slim,Home,6443,475,741,1071
2026-02-03,WB-4002,Organizer Box Set,Home,9097,1299,960,1394
2026-02-04,WB-1001,Power Blender X,Kitchen,22066,639,4152,639
2026-02-04,WB-1002,Air Fryer Pro 5L,Kitchen,15726,1801,2054,393
2026-02-04,WB-2001,Vitamin D3 2000IU,Health,9457,-243,1753,589
2026-02-04,WB-2002,Omega-3 Ultra,Health,8084,119,1272,1999
2026-02-04,WB-3001,Yoga Mat Grip+,Sport,11415,-637,2491,353
2026-02-04,WB-3002,Resistance Bands Set,Sport,6457,541,967,673
2026-02-04,WB-4001,LED Desk Lamp Slim,Home,5697,461,788,1309
2026-02-04,WB-4002,Organizer Box Set,Home,8215,228,1631,579
2026-02-05,WB-1001,Power Blender X,Kitchen,22294,1997,2700,684
2026-02-05,WB-1002,Air Fryer Pro 5L,Kitchen,20999,1086,2265,557
2026-02-05,WB-2001,Vitamin D3 2000IU,Health,9087,80,1851,992
2026-02-05,WB-2002,Omega-3 Ultra,Health,11126,-196,2435,846
2026-02-05,WB-3001,Yoga Mat Grip+,Sport,10943,1172,1876,370
2026-02-05,WB-3002,Resistance Bands Set,Sport,8841,528,1721,1084
2026-02-05,WB-4001,LED Desk Lamp Slim,Home,4747,86,574,670
2026-02-05,WB-4002,Organizer Box Set,Home,9317,998,1506,911
2026-02-06,WB-1001,Power Blender X,Kitchen,26005,487,3715,1084
2026-02-06,WB-1002,Air Fryer Pro 5L,Kitchen,27158,3275,2574,928
2026-02-06,WB-2001,Vitamin D3 2000IU,Health,11072,122,1457,804
2026-02-06,WB-2002,Omega-3 Ultra,Health,11432,690,1873,803
2026-02-06,WB-3001,Yoga Mat Grip+,Sport,6809,700,856,442
2026-02-06,WB-3002,Resistance Bands Set,Sport,8989,1247,975,762
2026-02-06,WB-4001,LED Desk Lamp Slim,Home,5589,498,526,1146
2026-02-06,WB-4002,Organizer Box Set,Home,8834,472,819,1337
2026-02-07,WB-1001,Power Blender X,Kitchen,19392,961,2320,1258
2026-02-07,WB-1002,Air Fryer Pro 5L,Kitchen,17981,321,2864,727
2026-02-07,WB-2001,Vitamin D3 2000IU,Health,17318,-714,3801,793
2026-02-07,WB-2002,Omega-3 Ultra,Health,16002,199,1736,1878
2026-02-07,WB-3001,Yoga Mat Grip+,Sport,9797,-95,1908,1056
2026-02-07,WB-3002,Resistance Bands Set,Sport,10066,197,1034,765
2026-02-07,WB-4001,LED Desk Lamp Slim,Home,8842,-646,1833,1241
2026-02-07,WB-4002,Organizer Box Set,Home,7322,-52,1102,793
2026-02-08,WB-1001,Power Blender X,Kitchen,18266,-1318,3828,800
2026-02-08,WB-1002,Air Fryer Pro 5L,Kitchen,21840,-1392,4703,440
2026-02-08,WB-2001,Vitamin D3 2000IU,Health,15721,-303,3404,572
2026-02-08,WB-2002,Omega-3 Ultra,Health,15579,2031,2092,1445
2026-02-08,WB-3001,Yoga Mat Grip+,Sport,11044,1582,1131,475
2026-02-08,WB-3002,Resistance Bands Set,Sport,8398,455,1666,441
2026-02-08,WB-4001,LED Desk Lamp Slim,Home,5618,376,763,926
2026-02-08,WB-4002,Organizer Box Set,Home,5152,625,590,1604
2026-02-09,WB-1001,Power Blender X,Kitchen,12217,1007,1939,352
2026-02-09,WB-1002,Air Fryer Pro 5L,Kitchen,22261,2659,2147,859
2026-02-09,WB-2001,Vitamin D3 2000IU,Health,13067,841,1605,1387
2026-02-09,WB-2002,Omega-3 Ultra,Health,11376,219,1959,1165
2026-02-09,WB-3001,Yoga Mat Grip+,Sport,5997,190,999,487
2026-02-09,WB-3002,Resistance Bands Set,Sport,10660,44,2016,438
2026-02-09,WB-4001,LED Desk Lamp Slim,Home,6868,313,652,988
2026-02-09,WB-4002,Organizer Box Set,Home,4999,298,709,473
2026-02-10,WB-1001,Power Blender X,Kitchen,19719,2876,1804,1084
2026-02-10,WB-1002,Air Fryer Pro 5L,Kitchen,18144,2051,1589,689
2026-02-10,WB-2001,Vitamin D3 2000IU,Health,15787,2496,1563,2024
2026-02-10,WB-2002,Omega-3 Ultra,Health,13949,-600,2707,2001
2026-02-10,WB-3001,Yoga Mat Grip+,Sport,8948,471,1914,425
2026-02-10,WB-3002,Resistance Bands Set,Sport,10816,-862,2274,588
2026-02-10,WB-4001,LED Desk Lamp Slim,Home,8255,1331,843,782
2026-02-10,WB-4002,Organizer Box Set,Home,8546,857,855,1634
2026-02-11,WB-1001,Power Blender X,Kitchen,14324,1205,1673,630
2026-02-11,WB-1002,Air Fryer Pro 5L,Kitchen,12164,490,1283,1242
2026-02-11,WB-2001,Vitamin D3 2000IU,Health,13509,-788,2774,1698
2026-02-11,WB-2002,Omega-3 Ultra,Health,8766,592,1352,1044
2026-02-11,WB-3001,Yoga Mat Grip+,Sport,11349,625,1790,1056
2026-02-11,WB-3002,Resistance Bands Set,Sport,6509,11,1425,626
2026-02-11,WB-4001,LED Desk Lamp Slim,Home,8458,1365,990,1182
2026-02-11,WB-4002,Organizer Box Set,Home,6315,23,1181,653
2026-02-12,WB-1001,Power Blender X,Kitchen,21069,3464,1827,566
2026-02-12,WB-1002,Air Fryer Pro 5L,Kitchen,19754,-78,4301,972
2026-02-12,WB-2001,Vitamin D3 2000IU,Health,10426,471,836,720
2026-02-12,WB-2002,Omega-3 Ultra,Health,12974,798,1823,1869
2026-02-12,WB-3001,Yoga Mat Grip+,Sport,6681,752,747,299
2026-02-12,WB-3002,Resistance Bands Set,Sport,5866,43,760,594
2026-02-12,WB-4001,LED Desk Lamp Slim,Home,5648,297,913,689
2026-02-12,WB-4002,Organizer Box Set,Home,7607,-37,1114,1656
2026-02-13,WB-1001,Power Blender X,Kitchen,16984,585,1713,946
2026-02-13,WB-1002,Air Fryer Pro 5L,Kitchen,26079,-135,4942,576
2026-02-13,WB-2001,Vitamin D3 2000IU,Health,9081,360,1546,1029
2026-02-13,WB-2002,Omega-3 Ultra,Health,15206,1943,2161,1619
2026-02-13,WB-3001,Yoga Mat Grip+,Sport,8527,-676,1760,747
2026-02-13,WB-3002,Resistance Bands Set,Sport,9668,155,1095,965
2026-02-13,WB-4001,LED Desk Lamp Slim,Home,5302,601,833,607
2026-02-13,WB-4002,Organizer Box Set,Home,6356,229,1049,1266
2026-02-14,WB-1001,Power Blender X,Kitchen,25240,1642,2636,612
2026-02-14,WB-1002,Air Fryer Pro 5L,Kitchen,14157,577,2895,1023
2026-02-14,WB-2001,Vitamin D3 2000IU,Health,9031,370,1790,1206
2026-02-14,WB-2002,Omega-3 Ultra,Health,16135,207,2312,652
2026-02-14,WB-3001,Yoga Mat Grip+,Sport,8410,742,718,939
2026-02-14,WB-3002,Resistance Bands Set,Sport,11763,418,2333,514
2026-02-14,WB-4001,LED Desk Lamp Slim,Home,8353,878,1178,1110
2026-02-14,WB-4002,Organizer Box Set,Home,6727,704,1142,706
2026-02-15,WB-1001,Power Blender X,Kitchen,22788,1812,1871,548
2026-02-15,WB-1002,Air Fryer Pro 5L,Kitchen,21072,572,4472,638
2026-02-15,WB-2001,Vitamin D3 2000IU,Health,15193,490,1914,1887
2026-02-15,WB-2002,Omega-3 Ultra,Health,13097,647,2318,1997
2026-02-15,WB-3001,Yoga Mat Grip+,Sport,8807,300,1739,1034
2026-02-15,WB-3002,Resistance Bands Set,Sport,8604,256,1561,550
2026-02-15,WB-4001,LED Desk Lamp Slim,Home,5588,-193,934,1622
2026-02-15,WB-4002,Organizer Box Set,Home,5258,280,440,1646
2026-02-16,WB-1001,Power Blender X,Kitchen,16045,397,1602,356
2026-02-16,WB-1002,Air Fryer Pro 5L,Kitchen,20427,1283,3446,1044
2026-02-16,WB-2001,Vitamin D3 2000IU,Health,8352,129,1358,1749
2026-02-16,WB-2002,Omega-3 Ultra,Health,14684,-1088,3006,1826
2026-02-16,WB-3001,Yoga Mat Grip+,Sport,11610,-870,2463,461
2026-02-16,WB-3002,Resistance Bands Set,Sport,6555,1120,555,994
2026-02-16,WB-4001,LED Desk Lamp Slim,Home,7657,195,1497,799
2026-02-16,WB-4002,Organizer Box Set,Home,5039,743,472,690
2026-02-17,WB-1001,Power Blender X,Kitchen,15721,-250,2190,569
2026-02-17,WB-1002,Air Fryer Pro 5L,Kitchen,15260,-19,2749,632
2026-02-17,WB-2001,Vitamin D3 2000IU,Health,15897,1681,2392,1442
2026-02-17,WB-2002,Omega-3 Ultra,Health,8060,420,1110,1680
2026-02-17,WB-3001,Yoga Mat Grip+,Sport,8034,220,1435,470
2026-02-17,WB-3002,Resistance Bands Set,Sport,11282,1787,1046,429
2026-02-17,WB-4001,LED Desk Lamp Slim,Home,4556,609,493,1710
2026-02-17,WB-4002,Organizer Box Set,Home,4571,228,679,1471
2026-02-18,WB-1001,Power Blender X,Kitchen,14024,369,2092,1138
2026-02-18,WB-1002,Air Fryer Pro 5L,Kitchen,14983,-699,3178,527
2026-02-18,WB-2001,Vitamin D3 2000IU,Health,13675,-166,2048,1470
2026-02-18,WB-2002,Omega-3 Ultra,Health,8479,350,1613,1701
2026-02-18,WB-3001,Yoga Mat Grip+,Sport,9805,534,1272,627
2026-02-18,WB-3002,Resistance Bands Set,Sport,11459,1949,1054,302
2026-02-18,WB-4001,LED Desk Lamp Slim,Home,5559,819,649,1081
2026-02-18,WB-4002,Organizer Box Set,Home,6408,-296,1305,1028
2026-02-19,WB-1001,Power Blender X,Kitchen,18397,1010,3414,954
2026-02-19,WB-1002,Air Fryer Pro 5L,Kitchen,16090,307,2023,1149
2026-02-19,WB-2001,Vitamin D3 2000IU,Health,13361,-490,2456,1165
2026-02-19,WB-2002,Omega-3 Ultra,Health,14296,-298,2302,1201
2026-02-19,WB-3001,Yoga Mat Grip+,Sport,11426,427,1294,545
2026-02-19,WB-3002,Resistance Bands Set,Sport,10279,-548,2036,417
2026-02-19,WB-4001,LED Desk Lamp Slim,Home,5763,449,724,632
2026-02-19,WB-4002,Organizer Box Set,Home,6157,1044,655,1381
2026-02-20,WB-1001,Power Blender X,Kitchen,14930,-1170,3205,695
2026-02-20,WB-1002,Air Fryer Pro 5L,Kitchen,27710,1276,5300,745
2026-02-20,WB-2001,Vitamin D3 2000IU,Health,10865,-349,1839,807
2026-02-20,WB-2002,Omega-3 Ultra,Health,12721,1260,1078,1708
2026-02-20,WB-3001,Yoga Mat Grip+,Sport,11751,836,1763,687
2026-02-20,WB-3002,Resistance Bands Set,Sport,7754,157,1275,932
2026-02-20,WB-4001,LED Desk Lamp Slim,Home,10349,742,1450,1408
2026-02-20,WB-4002,Organizer Box Set,Home,7605,940,851,1581
2026-02-21,WB-1001,Power Blender X,Kitchen,24670,1934,4391,987
2026-02-21,WB-1002,Air Fryer Pro 5L,Kitchen,22750,604,3265,936
2026-02-21,WB-2001,Vitamin D3 2000IU,Health,9915,1055,1375,1588
2026-02-21,WB-2002,Omega-3 Ultra,Health,15052,1095,1731,1190
2026-02-21,WB-3001,Yoga Mat Grip+,Sport,11230,1019,1541,1098
2026-02-21,WB-3002,Resistance Bands Set,Sport,8053,587,1382,622
2026-02-21,WB-4001,LED Desk Lamp Slim,Home,7992,-721,1729,1137
2026-02-21,WB-4002,Organizer Box Set,Home,0,-182,182,1675
2026-02-22,WB-1001,Power Blender X,Kitchen,14217,1803,1830,767
2026-02-22,WB-1002,Air Fryer Pro 5L,Kitchen,14282,-342,2093,1099
2026-02-22,WB-2001,Vitamin D3 2000IU,Health,10907,1207,1396,1193
2026-02-22,WB-2002,Omega-3 Ultra,Health,16118,1555,1704,1926
2026-02-22,WB-3001,Yoga Mat Grip+,Sport,10443,585,1733,502
2026-02-22,WB-3002,Resistance Bands Set,Sport,8255,358,731,1085
2026-02-22,WB-4001,LED Desk Lamp Slim,Home,7629,292,1331,564
2026-02-22,WB-4002,Organizer Box Set,Home,0,-255,255,1660
2026-02-23,WB-1001,Power Blender X,Kitchen,18341,2523,2029,703
2026-02-23,WB-1002,Air Fryer Pro 5L,Kitchen,14371,2101,1409,1116
2026-02-23,WB-2001,Vitamin D3 2000IU,Health,13128,843,1912,838
2026-02-23,WB-2002,Omega-3 Ultra,Health,15896,1475,2057,1750
2026-02-23,WB-3001,Yoga Mat Grip+,Sport,10991,237,1599,762
2026-02-23,WB-3002,Resistance Bands Set,Sport,6638,-131,1305,1028
2026-02-23,WB-4001,LED Desk Lamp Slim,Home,5860,163,777,982
2026-02-23,WB-4002,Organizer Box Set,Home,0,-195,195,1483
